height_bin,n_samples,height_cm_mean,height_cm_median,shoulder_width_ratio_median,shoulder_width_ratio_mean,pelvis_width_ratio_median,pelvis_width_ratio_mean,torso_height_ratio_median,torso_height_ratio_mean,upper_arm_ratio_median,upper_arm_ratio_mean,forearm_ratio_median,forearm_ratio_mean,arm_length_ratio_median,arm_length_ratio_mean,thigh_ratio_median,thigh_ratio_mean,shank_ratio_median,shank_ratio_mean,leg_length_ratio_median,leg_length_ratio_mean
90-95,2,92.60273575782776,92.60273575782776,0.1924348251461385,0.1924348251461385,0.06724386284913915,0.06724386284913915,0.2835911225082145,0.2835911225082145,0.1538773774859708,0.1538773774859708,0.1419853890446988,0.1419853890446988,0.2958627665306697,0.2958627665306697,0.1927589164298695,0.1927589164298695,0.21370378088202224,0.21370378088202224,0.4064626973118918,0.4064626973118918
95-100,6,97.29747076829274,97.36294597387314,0.19233572027561635,0.19101384787584685,0.0680254136761747,0.06739064652517074,0.2838652853379394,0.28538271863894465,0.15011519216935845,0.15116872965389647,0.14042562509814482,0.13989653836191165,0.29107479168917083,0.2910652680158082,0.1943074405512572,0.19346677169527574,0.21343356363090393,0.21163602437124815,0.4079754347209664,0.40510279606652394
100-105,1,101.30693018436432,101.30693018436432,0.1876092450305526,0.1876092450305526,0.0705429564617267,0.0705429564617267,0.2793519776812643,0.2793519776812643,0.1506153552654203,0.1506153552654203,0.1377314835584362,0.1377314835584362,0.2883468388238566,0.2883468388238566,0.19911767773126,0.19911767773126,0.2195226791778828,0.2195226791778828,0.4186403569091428,0.4186403569091428
105-110,5,107.36518383026123,107.0050835609436,0.1992641530717122,0.19803284861656087,0.0700736429150909,0.06928961033318988,0.2849219277521304,0.284699050387237,0.1529533651443691,0.15255550321673275,0.1420765824611599,0.14233679516141107,0.2938649291456988,0.2948922983781439,0.1972846710352316,0.19688530062570225,0.2194968977055999,0.21836364612456097,0.4167815687408315,0.4152489467502633
110-115,16,113.25331218540668,113.33543360233307,0.1855388778891052,0.18688494958972757,0.06592115719827425,0.06624431466910904,0.280132423543918,0.2793990471765959,0.15305807391625198,0.15281070999921004,0.14192710627298838,0.14188548950611468,0.29456760187205633,0.2946961995053248,0.20101791867693644,0.20131582369690496,0.22081902749392768,0.22093508831592773,0.4218182375759199,0.4222509120128327
115-120,20,117.03269898891449,116.6673243045807,0.190015850307403,0.18893569282233585,0.06217843051539075,0.062477343212371514,0.27735083308731656,0.2769638618142848,0.1525910356586605,0.15213709788002416,0.14383036112137754,0.14386454759802125,0.2968638727996626,0.29600164547804547,0.20453355325788086,0.20511567145648218,0.22252386633359156,0.22282453579581635,0.4265302933088836,0.4279402072522986
120-125,17,122.86283514078926,123.43862056732178,0.1805944132553186,0.18403975048219126,0.0621798721396201,0.062093140216720334,0.2732946720141219,0.27519292618020935,0.1531489047165651,0.15221475368547657,0.1447195966529307,0.14413338743077672,0.2968949359978218,0.29634814111625335,0.2092651458824966,0.2080495688025384,0.2263745936335449,0.22564556598942936,0.4357607692280063,0.4336951347919678
