height_bin,n_samples,height_cm_mean,height_cm_median,shoulder_width_ratio_median,shoulder_width_ratio_mean,pelvis_width_ratio_median,pelvis_width_ratio_mean,torso_height_ratio_median,torso_height_ratio_mean,upper_arm_ratio_median,upper_arm_ratio_mean,forearm_ratio_median,forearm_ratio_mean,arm_length_ratio_median,arm_length_ratio_mean,thigh_ratio_median,thigh_ratio_mean,shank_ratio_median,shank_ratio_mean,leg_length_ratio_median,leg_length_ratio_mean
125-130,18,127.32708818382687,126.6351044178009,0.18996740344879054,0.18883921349832633,0.0618326084975045,0.06325049096261713,0.27506495322321406,0.27377242070165964,0.15114798389213618,0.15186924409215433,0.14461342165619134,0.14465043298763142,0.2974406552237683,0.29651967707978577,0.2108515759911947,0.21013078274589486,0.22879856778872804,0.22819833072041856,0.4400185502903403,0.4383291134663134
130-135,15,132.59516874949136,132.78868198394775,0.1868500199795764,0.18653260206400465,0.0609906183097422,0.06122091566689063,0.2701239001458041,0.2723012622596062,0.1558379084079335,0.15373494820197758,0.1459138637070098,0.1470356812120633,0.3019949653948088,0.300770629414041,0.212576497347265,0.21118925609711486,0.2306753027538127,0.23008982175164053,0.4440840474181947,0.44127907784875553
135-140,15,137.04717000325522,137.66741156578064,0.1865597277876674,0.18783305846806853,0.0618718374714639,0.06266365992202855,0.2728039472174372,0.27379185569298087,0.1524837305894806,0.15236152372755765,0.1448333746435837,0.14524222183985097,0.2970458508567238,0.2976037455674086,0.2108894333673322,0.2116594040495701,0.2292081227522701,0.2295028535160343,0.440858563749139,0.4411622575656045
